,County,# Premature Deaths,# Child Deaths,# Infant Deaths,# Limited Access,% Limited Access,# Uninsured Adults,# Uninsured Children,% Uninsured Adults,% Uninsured Children,Household Income,Population,# Rural,% Rural
1,,312690,14933,18256,1164228,3,5718351,754701,24,8,61927,38802500,1880350,5.0
2,Alameda,12315,521,619,24227,2,178422,21348,17,6,76996,1610921,5869,0.4
3,Alpine,,,,153,13,141,28,20,11,53003,1116,1175,100.0
4,Amador,516,,,1200,3,3513,516,18,9,54610,36742,23016,60.4
5,Butte,2750,87,98,15882,7,28274,3367,21,7,42302,224241,41584,18.9
6,Calaveras,651,15,,979,2,4762,740,19,9,53321,44624,34370,75.4
7,Colusa,201,15,,575,3,3888,648,31,10,48006,21419,6795,31.7
8,Contra Costa,8697,368,403,28361,3,116525,16487,17,6,80338,1111339,8316,0.8
9,Del Norte,418,14,,2923,10,3010,473,20,8,41419,27212,9634,33.7
10,El Dorado,1798,43,48,8605,5,17522,2672,16,7,70235,183087,62827,34.7
11,Fresno,8749,655,763,50729,5,152523,19908,27,7,43338,965974,100537,10.8
12,Glenn,313,20,,1501,5,4600,786,28,10,43755,27955,11494,40.9
13,Humboldt,1868,62,70,8754,7,21268,2358,25,9,40581,134809,40062,29.8
14,Imperial,1381,81,89,14044,8,27367,4808,28,9,38737,179091,30399,17.4
15,Inyo,227,,,1999,11,2270,414,21,10,49267,18410,8611,46.4
16,Kern,8813,554,673,45375,5,135724,20109,27,8,47451,874589,85693,10.2
17,Kings,1293,87,107,8629,6,19409,3509,25,8,44490,150269,16601,10.9
18,Lake,1287,31,27,5001,8,9141,1295,24,10,36333,64184,21408,33.1
19,Lassen,367,10,,10371,30,2209,391,15,7,49995,31749,24610,70.5
20,Los Angeles,76580,3745,4644,139369,1,1885666,204554,29,8,55686,10116705,59424,0.6
21,Madera,1490,99,94,11365,8,25333,4115,30,9,43171,154548,49672,32.9
22,Marin,1863,63,56,4989,2,21182,3258,14,6,94549,260750,16457,6.5
23,Mariposa,238,,,1081,6,1842,283,18,9,47781,17682,18251,100.0
24,Mendocino,1144,41,57,6574,7,13651,2172,26,11,42840,87869,39731,45.2
25,Merced,2333,138,186,14080,6,43374,6027,28,7,43818,266353,36510,14.3
26,Modoc,165,,,1452,15,1362,262,27,13,39172,9023,6776,70.0
27,Mono,77,,,1158,8,2569,352,27,12,59181,13997,6509,45.8
28,Monterey,2975,208,235,12941,3,77659,11899,31,10,57428,431344,40742,9.8
29,Napa,1203,40,61,3609,3,17792,2623,21,8,71063,141667,18290,13.4
30,Nevada,1048,32,25,5277,5,11517,1844,20,10,57118,98893,41614,42.1
31,Orange,20563,914,1225,28840,1,453081,61200,23,8,76061,3145515,4315,0.1
32,Placer,3091,108,120,7803,2,33319,5830,15,7,75689,371694,48039,13.8
33,Plumas,325,,,357,2,2271,350,21,10,47964,18606,14810,74.0
34,Riverside,19465,939,1156,135290,6,372852,64968,27,10,56877,2329271,101212,4.6
35,Sacramento,14304,636,794,51932,4,192622,24509,21,7,55803,1482026,29257,2.1
36,San Benito,415,27,27,1645,3,8513,1458,24,9,68166,58267,13267,24.0
37,San Bernardino,19384,1149,1442,151879,7,331500,51928,26,9,51951,2112619,96357,4.7
38,San Diego,23996,1184,1444,84421,3,434234,63062,22,8,66034,3263431,102054,3.3
39,San Francisco,6709,180,223,11090,1,83244,6147,14,5,83788,852469,0,0.0
40,San Joaquin,7152,365,446,24555,4,104589,15514,25,7,51527,715597,58065,8.5
41,San Luis Obispo,2480,94,85,10757,4,30308,4196,18,8,61775,279083,44750,16.6
42,San Mateo,4904,173,231,11019,2,67700,10443,14,6,100806,758581,13586,1.9
43,Santa Barbara,3085,125,197,12538,3,66994,9870,25,10,62116,440668,21269,5.0
44,Santa Clara,10901,483,620,22556,1,184767,23000,16,5,97219,1894605,19307,1.1
45,Santa Cruz,2155,82,94,10587,4,37641,4642,22,8,64257,271804,31589,12.0
46,Shasta,2847,90,86,13137,7,23105,3210,22,8,43661,179804,51902,29.3
47,Sierra,47,,,695,21,403,68,23,13,47293,3003,3231,99.7
48,Siskiyou,721,19,,3791,8,5953,1016,24,11,38641,43628,29556,65.8
49,Solano,4113,177,223,16816,4,47226,6570,18,6,67106,431131,15370,3.7
50,Sonoma,4392,136,159,18499,4,62706,8655,20,8,66949,500292,59776,12.4
51,Stanislaus,5392,321,360,24816,5,84340,12253,27,8,50917,531997,41057,8.0
52,Sutter,992,37,48,9890,10,14946,2445,26,9,51827,95847,14019,14.8
53,Tehama,833,29,35,5159,8,8701,1355,24,9,40782,63067,32676,51.5
54,Trinity,255,,,942,7,1777,297,22,12,34961,13170,13786,100.0
55,Tulare,4179,266,300,35622,8,75981,11027,29,7,42360,458198,68449,15.5
56,Tuolumne,723,12,,4811,9,5403,802,18,8,49476,53831,27110,49.0
57,Ventura,6050,320,415,20325,2,114677,17221,22,8,74967,846178,25725,3.1
58,Yolo,1565,56,67,4711,2,26563,3774,20,8,54509,207590,13918,6.9
59,Yuba,877,41,46,8544,12,10419,1641,24,8,41403,73966,18921,26.2
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
